prob	pdf
0.0025	0.000232056
0.0075	0.000237166
0.0125	0.000242423
0.0175	0.000247831
0.0225	0.000253397
0.0275	0.000259125
0.0325	0.000265023
0.0375	0.000271096
0.0425	0.000277351
0.0475	0.000283795
0.0525	0.000290436
0.0575	0.000297282
0.0625	0.000304341
0.0675	0.000311621
0.0725	0.000319133
0.0775	0.000326885
0.0825	0.00033489
0.0875	0.000343174
0.0925	0.000351754
0.0975	0.000360641
0.1025	0.000369847
0.1075	0.000379384
0.1125	0.000389267
0.1175	0.000399509
0.1225	0.000410125
0.1275	0.00042113
0.1325	0.00043254
0.1375	0.000444372
0.1425	0.000456644
0.1475	0.000469376
0.1525	0.000482587
0.1575	0.0004963
0.1625	0.000510538
0.1675	0.000525326
0.1725	0.00054069
0.1775	0.00055666
0.1825	0.000573267
0.1875	0.000590544
0.1925	0.000608529
0.1975	0.000627261
0.2025	0.000646784
0.2075	0.000667145
0.2125	0.000688396
0.2175	0.000710592
0.2225	0.000733793
0.2275	0.000758066
0.2325	0.000783481
0.2375	0.000810115
0.2425	0.00083805
0.2475	0.000867373
0.2525	0.000898179
0.2575	0.000930565
0.2625	0.000964637
0.2675	0.001000502
0.2725	0.001038276
0.2775	0.001078073
0.2825	0.001120013
0.2875	0.001164216
0.2925	0.001210802
0.2975	0.001259486
0.3025	0.001308126
0.3075	0.001356406
0.3125	0.001405184
0.3175	0.001455487
0.3225	0.001508323
0.3275	0.00156454
0.3325	0.001624763
0.3375	0.001689383
0.3425	0.001758594
0.3475	0.001832451
0.3525	0.001910918
0.3575	0.001993913
0.3625	0.002081344
0.3675	0.002173131
0.3725	0.002269222
0.3775	0.002369602
0.3825	0.0024743
0.3875	0.002583395
0.3925	0.002697015
0.3975	0.00281534
0.4025	0.0029386
0.4075	0.003067073
0.4125	0.003201081
0.4175	0.003340981
0.4225	0.003487159
0.4275	0.003640014
0.4325	0.003799944
0.4375	0.003967329
0.4425	0.004142507
0.4475	0.004325746
0.4525	0.004517171
0.4575	0.004716813
0.4625	0.004924623
0.4675	0.00514042
0.4725	0.005363896
0.4775	0.005594651
0.4825	0.005832226
0.4875	0.006076176
0.4925	0.006326126
0.4975	0.00658183
0.5025	0.006843177
0.5075	0.007110143
0.5125	0.007382606
0.5175	0.0076601
0.5225	0.007941495
0.5275	0.008224732
0.5325	0.008506785
0.5375	0.008784022
0.5425	0.009052971
0.5475	0.009312638
0.5525	0.009568582
0.5575	0.009822382
0.5625	0.010073661
0.5675	0.010321958
0.5725	0.010566765
0.5775	0.010807563
0.5825	0.011043972
0.5875	0.011275282
0.5925	0.011500528
0.5975	0.011718418
0.6025	0.011927087
0.6075	0.01212511
0.6125	0.012311172
0.6175	0.012483991
0.6225	0.012642421
0.6275	0.012785391
0.6325	0.012911854
0.6375	0.013020743
0.6425	0.013110949
0.6475	0.013181334
0.6525	0.013230808
0.6575	0.013258444
0.6625	0.013262844
0.6675	0.013242826
0.6725	0.013199122
0.6775	0.013133252
0.6825	0.01304733
0.6875	0.012943983
0.6925	0.012826013
0.6975	0.012696175
0.7025	0.012557019
0.7075	0.012410811
0.7125	0.012259537
0.7175	0.012104951
0.7225	0.011948665
0.7275	0.011792225
0.7325	0.011637172
0.7375	0.011485047
0.7425	0.011337314
0.7475	0.011195159
0.7525	0.011059325
0.7575	0.010929759
0.7625	0.010805138
0.7675	0.010682418
0.7725	0.01055649
0.7775	0.010420122
0.7825	0.010264382
0.7875	0.010079687
0.7925	0.009857415
0.7975	0.009591761
0.8025	0.009281253
0.8075	0.008929331
0.8125	0.008543711
0.8175	0.008134754
0.8225	0.007713451
0.8275	0.007289717
0.8325	0.006871382
0.8375	0.006463419
0.8425	0.006062426
0.8475	0.005667344
0.8525	0.005283583
0.8575	0.004916746
0.8625	0.004571116
0.8675	0.004248998
0.8725	0.003950834
0.8775	0.00367574
0.8825	0.003422102
0.8875	0.003188041
0.8925	0.002971698
0.8975	0.002771379
0.9025	0.002585602
0.9075	0.002413096
0.9125	0.00225277
0.9175	0.002103683
0.9225	0.001965013
0.9275	0.001836031
0.9325	0.001716078
0.9375	0.001604551
0.9425	0.001500893
0.9475	0.001404582
0.9525	0.001315127
0.9575	0.001232067
0.9625	0.001154963
0.9675	0.001083404
0.9725	0.001016999
0.9775	0.000955379
0.9825	0.000898198
0.9875	0.000845132
0.9925	0.000795875
0.9975	0.000750143
